

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.017  000.017: --- NVIM STARTING ---
000.441  000.423: locale set
000.814  000.373: inits 1
000.830  000.016: window checked
005.110  004.280: parsing arguments
005.326  000.217: expanding arguments
005.367  000.040: inits 2
006.015  000.648: init highlight
006.033  000.018: init default mappings
006.035  000.002: waiting for UI
007.138  001.103: done waiting for UI
007.192  000.054: initialized screen early for UI
007.459  000.026  000.026: sourcing /usr/share/nvim/archlinux.vim
007.469  000.075  000.049: sourcing /etc/xdg//nvim/sysinit.vim
008.018  000.338  000.338: sourcing /home/elianiva/.config/nvim/lua/modules/keymap.lua
009.401  000.419  000.419: sourcing /home/elianiva/.config/nvim/lua/modules/options.lua
010.664  000.262  000.262: sourcing /home/elianiva/.config/nvim/lua/modules/util.lua
011.824  000.226  000.226: sourcing /home/elianiva/.config/nvim/lua/modules/mappings.vim
013.033  000.328  000.328: sourcing /home/elianiva/.config/nvim/lua/modules/statusline.lua
013.888  006.375  004.802: sourcing /home/elianiva/.config/nvim/init.vim
013.894  000.252: sourcing vimrc file(s)
023.503  000.042  000.042: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/elixir.vim
023.555  000.023  000.023: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fish.vim
023.604  000.022  000.022: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
023.643  000.019  000.019: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
023.682  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gomod.vim
023.733  000.028  000.028: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
023.780  000.024  000.024: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
023.818  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/julia.vim
023.863  000.026  000.026: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
